Ref,Val,Package,PosX,PosY,Rot,Side
"Bat+1","MountingHole_Pad","1pin_conn_min",183.571918,-77.344000,0.000000,top
"BatGND1","MountingHole_Pad","1pin_conn_min",169.347918,-77.344000,0.000000,top
"SW2","SW_Push","SW_PG1350_rev_DPB2.2",83.824561,-69.496826,3.000000,top
"SW3","SW_Push","SW_PG1350_rev_DPB2.2",103.910000,-59.020000,0.000000,top
"SW4","SW_Push","SW_PG1350_rev_DPB2.2",121.910000,-53.660000,0.000000,top
"SW5","SW_Push","SW_PG1350_rev_DPB2.2",139.910000,-59.020000,0.000000,top
"SW6","SW_Push","SW_PG1350_rev_DPB2.2",157.910000,-62.900000,0.000000,top
"SW8","SW_Push","SW_PG1350_rev_DPB2.2",84.714271,-86.473528,3.000000,top
"SW9","SW_Push","SW_PG1350_rev_DPB2.2",103.910000,-76.020000,0.000000,top
"SW10","SW_Push","SW_PG1350_rev_DPB2.2",121.910000,-70.660000,0.000000,top
"SW11","SW_Push","SW_PG1350_rev_DPB2.2",139.910000,-76.020000,0.000000,top
"SW12","SW_Push","SW_PG1350_rev_DPB2.2",157.910000,-79.900000,0.000000,top
"SW14","SW_Push","SW_PG1350_rev_DPB2.2",85.603983,-103.450230,3.000000,top
"SW15","SW_Push","SW_PG1350_rev_DPB2.2",103.910000,-93.020000,0.000000,top
"SW16","SW_Push","SW_PG1350_rev_DPB2.2",121.910000,-87.660000,0.000000,top
"SW17","SW_Push","SW_PG1350_rev_DPB2.2",139.910000,-93.020000,0.000000,top
"SW18","SW_Push","SW_PG1350_rev_DPB2.2",157.910000,-96.900000,0.000000,top
"SW20","SW_Push","SW_PG1350_rev_DPB2.2",161.624075,-122.677892,-120.000000,top
"SW21","SW_Push","SW_PG1350_15_reversible_b2V2",174.324075,-135.377892,-120.000000,top
"SW_POWER1","SW_SPDT","SPDT_C128955",182.880000,-118.916037,-90.000000,top
"U1","ProMicro-kbd","ProMicroSimpleJumperDPBnn2",178.745918,-91.948000,0.000000,top
